name,category,rating,city,cost_per_plate,decoration,makeup_artist,dj,photography
Hotel Yuvarani Residency,banquet-halls,3.0,kochi,700,51300,13800,9100,30300
The Avenue Center Hotel,banquet-halls,3.0,kochi,700,53400,13700,12800,30000
IMA House,banquet-halls,4.0,kochi,475,44400,8400,11600,30900
Paravoor Galaxy Hotels,banquet-halls,4.0,kochi,450,51000,8800,13500,29300
Paravoor Galaxy Hotels,banquet-halls,4.0,kochi,450,41000,11700,11200,31800
The Gateway Hotel,banquet-halls,4.0,kochi,2000,118600,26200,9600,56500
Sara Hotels and Apartment,banquet-halls,3.0,kochi,350,42100,10600,14400,29400
Mermaid Hotel,banquet-halls,3.8,kochi,425,48100,9600,12700,26600
Hotel Kabani International,banquet-halls,3.0,kochi,450,45600,10300,14900,27700
Hotel VKJ International,banquet-halls,3.0,kochi,475,42100,12000,10300,21900
Imperial Insignia,banquet-halls,4.0,kochi,800,57700,14600,11700,39000
The Avenue Regent,banquet-halls,4.0,kochi,1200,83700,18400,12500,44600
Pearl Palace,banquet-halls,3.7,kochi,850,65600,12000,12800,36500
Hotel Excellency,banquet-halls,3.5,kochi,250,34600,8200,14700,27000
The Markz Inn,banquet-halls,3.7,kochi,500,53300,12700,13100,30100
Elegance Resort,banquet-halls,4.8,mathura,700,51400,11100,13500,37400
Elegance Resort,banquet-halls,4.8,mathura,700,61000,13400,9000,36600
Hotel Kridha Residency,banquet-halls,3.8,mathura,1200,86000,15000,13600,47800
Sks Grand Palace,banquet-halls,4.4,mathura,1000,70100,14600,8400,43400
Adishri Palace,banquet-halls,2.0,mathura,550,51000,14600,9700,33900
Hotel Heera Kunj Residency,banquet-halls,2.0,mathura,850,68700,14500,10000,36000
Hotel Duke Palace,banquet-halls,2.0,mathura,800,62600,16700,9300,26500
Hotel Kridha Residency,banquet-halls,3.8,mathura,1200,75700,19200,9900,45000
Regal Hotal And Restaurant,banquet-halls,2.0,mathura,750,57000,12300,12800,38800
Agrawal Restaurant,banquet-halls,2.0,mathura,650,60800,14200,14900,28600
Hotel Lotus Grand,banquet-halls,2.0,mathura,750,61800,12700,9000,35900
Hotel Mukund Palace,banquet-halls,2.0,mathura,750,66200,10700,8500,37900
Heera Invitation,banquet-halls,2.0,mathura,650,54300,12700,13600,35100
Vinayak Palace,banquet-halls,2.0,mathura,950,74900,12800,12200,32000
Hotel Harikripa Dham,banquet-halls,4.0,mathura,700,53700,13700,13400,32100
Hotel The Royal Bharti,banquet-halls,4.0,mathura,1000,67700,17600,10400,33700
Hotel The Royal Bharti,banquet-halls,4.0,mathura,1000,72500,15200,8900,42100
Om Paradise,banquet-halls,2.0,mathura,850,58000,18300,9100,37000
Heera Crystal Inn,banquet-halls,2.0,mathura,1050,78500,16700,10500,36100
Heera Crystal Inn,banquet-halls,2.0,mathura,1050,72500,17100,10000,41300
The Mystic Palms,banquet-halls,2.0,mathura,750,64800,13800,13600,31500
Agrawal Restaurant,banquet-halls,2.0,mathura,650,52300,14400,12000,25200
Madhav Muskan Residency,banquet-halls,2.0,mathura,650,51300,14500,11800,26400
Lee Inn Resort,banquet-halls,2.0,mathura,850,63500,11900,10800,33900
Hotel Duke Palace,banquet-halls,2.0,mathura,800,69800,13000,8900,27600
Clarks Inn Krishna Valley Resort,banquet-halls,3.0,mathura,1800,112100,22400,12600,59800
Brijwasi Lands Inn,banquet-halls,2.0,mathura,750,59800,11600,10100,39800
Nandan Farm,banquet-halls,2.0,mathura,650,52800,12900,12500,35800
Hotel Idhayan Palace,banquet-halls,2.0,mathura,1400,98200,20700,14500,52900
Kadamb Resort Spiritual Stay,banquet-halls,2.0,mathura,1200,81100,15900,14500,43100
Diwatel Grande Resort,banquet-halls,4.0,lonavala,1100,77900,14200,13500,45000
Maharaja Agrasen Palace,banquet-halls,4.0,lonavala,500,50700,12000,13100,26500
Maharaja Agrasen Palace,banquet-halls,4.0,lonavala,500,42800,11800,11600,22800
United 21 Hotels & Resorts,banquet-halls,3.0,lonavala,600,45900,11000,11200,28900
Fariyas Resort,banquet-halls,5.0,lonavala,1400,96100,22400,12400,45700
Fariyas Resort,banquet-halls,5.0,lonavala,1400,86600,19100,10600,39900
Krushnai Resort,banquet-halls,3.0,lonavala,700,57700,13600,12900,36200
The Metropole,banquet-halls,4.0,lonavala,750,55800,12600,9000,28100
Treasure Island Resort,banquet-halls,4.0,lonavala,700,62700,15200,14400,36800
Mount View Resort,banquet-halls,3.0,lonavala,450,43200,7900,11600,20000
Della Resorts,banquet-halls,5.0,lonavala,2000,122000,28600,14400,57300
Hotel Grand Visava,banquet-halls,4.0,lonavala,600,45300,14200,10700,33600
Basilica Holiday Home,banquet-halls,2.0,lonavala,450,42300,13300,11200,22200
Rhythm Lonavala Resort,banquet-halls,5.0,lonavala,1000,66800,15400,14800,36500
Sumitra Palace,banquet-halls,4.0,lonavala,350,42600,10800,8900,22200
Hotel Om Palace,banquet-halls,3.0,lonavala,850,72300,18000,12900,27900
Aoris Villa Lonavala,banquet-halls,3.9,lonavala,600,45000,13500,8400,31000
Triose Villa,banquet-halls,4.0,lonavala,800,57900,12500,10600,37600
The Sunshine Resort,banquet-halls,3.7,lonavala,350,41500,11600,12200,31600
Diwatel Grande Resort,banquet-halls,4.0,lonavala,1100,77400,20300,8600,41200
Maharaja Agrasen Palace,banquet-halls,4.0,lonavala,500,47400,10200,14100,27400
Triose Villa,banquet-halls,4.0,lonavala,800,68200,17000,9500,29500
Samuels Banquet Hall,banquet-halls,2.0,lonavala,2200,130100,27600,8900,65700
United 21 Hotels & Resorts,banquet-halls,3.0,lonavala,600,46000,14400,10600,22800
Treasure Island Resort,banquet-halls,4.0,lonavala,700,60000,12300,13100,32200
Cloud 9 Hills Resort,banquet-halls,3.0,lonavala,500,52700,11000,14500,33900
Diwatel Grande Resort,banquet-halls,4.0,lonavala,1100,81300,15200,11700,35300
Maharaja Agrasen Palace,banquet-halls,4.0,lonavala,500,42200,9000,14600,28000
Maharaja Agrasen Palace,banquet-halls,4.0,lonavala,500,48400,12700,9600,30000
United 21 Hotels & Resorts,banquet-halls,3.0,lonavala,600,58600,13000,15000,25200
Kiaraa Banquet,banquet-halls,3.0,thane,1350,97000,22200,13700,37300
Kiaraa Banquet,banquet-halls,4.4,thane,1350,96600,17600,11200,46800
Ballroom Palazzo,banquet-halls,4.0,thane,800,68100,14700,13600,35300
Hotel Satkar Residency,banquet-halls,4.0,thane,1000,72400,15800,9700,41200
Ballroom Palazzo,banquet-halls,4.0,thane,800,59200,12600,14900,38000
Hotel Sharanam,banquet-halls,3.0,thane,650,61000,13400,9400,37300
Kirti Marriage & Party Hall,banquet-halls,3.0,thane,350,36400,8900,14000,27000
Hotel Kushala Paradise,banquet-halls,3.0,thane,550,49500,14300,8300,21600
Rambhau Nayak Hall,banquet-halls,3.0,thane,400,41900,7400,10700,30700
Tejobhavan Hall,banquet-halls,3.0,thane,300,34800,8800,15000,19400
Govindmani Banquet Hall,banquet-halls,4.0,thane,350,46300,8100,10700,23000
Hotel Royal Classic,banquet-halls,4.0,thane,800,59000,16200,9500,33700
Monarch Boutique Hotel,banquet-halls,3.0,thane,900,61600,15900,12300,34200
Alexson Hotel & Resort,banquet-halls,3.5,thane,400,45300,8300,9400,25100
United21,banquet-halls,4.0,thane,850,64800,18400,10300,41900
United21,banquet-halls,3.0,thane,850,66200,17700,10900,30400
Ileaf Ritz Banquets,banquet-halls,4.1,thane,700,50400,12400,9600,37600
Ileaf Ritz Banquets,banquet-halls,4.1,thane,1050,67900,13700,14700,34200
Shloka Banquet,banquet-halls,3.8,thane,699,58100,16700,10400,34400
Hari Om Banquet And Kitchen,banquet-halls,4.3,thane,550,55300,14100,13000,35300
Balaji Banquet,banquet-halls,4.1,thane,575,56500,14300,14200,26800
Tejas Banquet Hall,banquet-halls,3.6,thane,400,37000,8600,8500,27400
Sayba Hall,banquet-halls,2.0,thane,1500,100900,19600,8200,46800
Joshi Bandhu Lawn,banquet-halls,3.5,thane,550,52400,9200,11300,29500
Saya Grand Club & Spa Resort,banquet-halls,4.2,thane,899,65900,12100,10200,31300
Utsav,banquet-halls,4.1,thane,350,34000,10500,11200,27100
Dolphin Club,banquet-halls,3.6,thane,615,52900,15700,9700,23100
Maharaja Banquet Hall,banquet-halls,3.9,thane,700,57100,11000,10100,28900
Anand Banquet Hall,banquet-halls,4.0,thane,900,63600,12100,9600,42500
Anand Banquet Hall,banquet-halls,4.0,thane,900,70900,18600,10200,30900
Maple Resort,banquet-halls,4.3,chail,2500,144800,35000,10300,69600
Vue Magique Resorts,banquet-halls,4.3,chail,1200,79200,20100,10200,39300
Fernhill Resort,banquet-halls,4.0,chail,350,46000,11600,9100,27100
Deventure Chail,banquet-halls,4.1,chail,999,72200,19800,11500,33300
Chail Palace,banquet-halls,4.1,chail,400,41600,9300,12300,27100
Hotel Jungle Livinn,banquet-halls,4.0,chail,450,43500,8700,11700,24200
Mint Tarika Resort,banquet-halls,4.2,chail,650,49500,15100,10400,34900
Mountain View Resort,banquet-halls,4.3,chail,500,52300,14900,13600,29800
Hotel Jungle Livinn,banquet-halls,4.0,chail,450,42300,13100,12900,25900
Mint Tarika Resort,banquet-halls,4.3,chail,650,48200,10500,13700,34300
Treehouse Chail Villas,banquet-halls,4.5,chail,500,47900,11700,14000,27600
Starlit Suites,banquet-halls,4.0,alwar,1199,80500,21000,10900,36500
Golden Tulip,banquet-halls,4.0,alwar,1700,104500,24000,12600,54900
The Lal Vilas Hotel And Resorts,banquet-halls,3.0,alwar,2400,140000,31900,9100,64700
Todays Sunrise Luxury Resort,banquet-halls,4.2,alwar,600,57800,13400,14800,35900
The Roof Restaurant,banquet-halls,3.8,alwar,700,60000,15200,14200,34100
Grand Hira Hotel & Resort,banquet-halls,4.3,alwar,1000,75300,18800,11500,39600
Shiva Oasis Spa Resort,banquet-halls,4.0,alwar,1350,85900,22100,13100,41200
Hotel Centre Point,banquet-halls,3.7,alwar,1400,99400,22100,10700,40300
Shakti Resort,banquet-halls,3.8,alwar,1200,82200,16300,11000,44700
Cambay Sapphire Neemrana,banquet-halls,3.8,alwar,2000,124800,24900,14300,55300
Treehouse Sunrise Resort & Caravan Park,banquet-halls,3.0,alwar,1200,89500,16800,8200,35900
R C Palace Hotel,banquet-halls,3.7,alwar,1299,80200,19200,8200,50100
Country Inn And Suites By Radisson,banquet-halls,4.0,alwar,1500,98900,21800,8300,46600
Todays Sunrise Luxury Resort,banquet-halls,4.2,alwar,600,57700,11300,12300,32100
Days Hotel By Wyndham Neemrana,banquet-halls,4.1,alwar,900,70400,18400,8400,32000
Shiva Oasis Spa Resort,banquet-halls,4.0,alwar,1350,83300,19900,13100,44600
Gokul Kunj,banquet-halls,3.8,alwar,850,69700,16700,13200,34300
Cambay Sapphire Neemrana,banquet-halls,3.8,alwar,2000,119400,23800,14800,61400
Duttas Executive Lounge,banquet-halls,3.4,alwar,600,55200,14900,8900,23100
Ramada By Wyndham,banquet-halls,3.9,alwar,800,56100,17100,11300,31200
Hotel Aju Palace,banquet-halls,4.2,alwar,700,58400,12400,8500,25700
Royal Court Banquet Hall,banquet-halls,5.0,alwar,800,63600,17500,13900,30700
Royal Court Banquet Hall,banquet-halls,5.0,alwar,800,66200,11900,10800,31900
Raj Mahal Restaurant,banquet-halls,3.7,alwar,700,57900,16000,13000,27400
Hotel Tokas,banquet-halls,4.0,alwar,350,37400,11800,8800,29800
Red Fox Hotel,banquet-halls,4.0,alwar,1499,100000,18700,11800,46300
Bos Red Chilly Restaurant And Banquets,banquet-halls,4.0,alwar,600,51500,13700,9900,35800
Shiva Oasis Spa Resort,banquet-halls,4.0,alwar,1350,87200,19100,10100,44600
Shiva Oasis Spa Resort,banquet-halls,4.0,alwar,1350,85300,22200,14400,37700
Sufiyana Banquet And Conference Hall,banquet-halls,4.0,alwar,900,63400,16200,8100,36200
Saras Parlor And Restaurant,banquet-halls,4.0,ranthambore,350,44000,12500,13700,19100
Ranthambhore Heritage Haveli,banquet-halls,4.2,ranthambore,650,48800,15300,13400,36400
Laxmi Marriage Garden,banquet-halls,3.9,ranthambore,400,42000,11500,14700,24700
The Pugmark,banquet-halls,4.3,ranthambore,650,59700,15100,12600,36000
Nahargarh Resort,banquet-halls,4.5,ranthambore,2200,129700,31800,11600,62000
Ranthambhore Heritage Haveli,banquet-halls,2.0,ranthambore,650,57800,10300,8200,32900
Food Circle,banquet-halls,3.7,ranthambore,250,32000,7700,13200,17200
The Abrar Palace,banquet-halls,4.2,ranthambore,799,65300,12100,14600,34800
Welcomheritage Mount Valley Resort,banquet-halls,4.1,ranthambore,600,58100,11200,11900,31800
Om Rudrapriya Holiday Resort,banquet-halls,4.0,ranthambore,900,66900,12200,8100,35600
Regenta Resort Vanya Mahal,banquet-halls,4.3,ranthambore,900,66900,14700,10400,36900
Ankur Resort,banquet-halls,3.8,ranthambore,1000,74500,19100,9800,39200
Treehouse Pugmark A Wildlife Resort Ranthambore,banquet-halls,4.0,ranthambore,800,61200,17800,11000,28800
Poppys Anukula Residency,banquet-halls,3.0,vellore,200,33000,8500,10500,24300
Durga Mahal Ac,banquet-halls,2.0,vellore,350,39400,8900,9900,19500
7Spice Multicuisine Restaurant,banquet-halls,2.0,vellore,199,34500,5500,10600,20800
Btm Mahal,banquet-halls,2.0,vellore,1600,102000,25400,13900,52700
Baby Residency,banquet-halls,3.0,vellore,500,50700,9900,13600,30700
Anukulas Convention Center,banquet-halls,2.0,vellore,200,37700,10000,9900,18900
Rangalaya Kalyana Mandapam,banquet-halls,3.0,vellore,550,52700,12400,10700,25400
Hotel River View,banquet-halls,2.0,vellore,450,38800,9500,11300,22200
S J Function Hall,banquet-halls,2.0,vellore,450,50000,11300,11200,31200
Sri Narayani Mahal,banquet-halls,2.0,vellore,550,46800,15300,10600,34500
Ajanta Mahal,banquet-halls,3.0,vellore,1700,107600,25000,14100,47200
R S J Imran Mahal,banquet-halls,2.0,vellore,285,38800,12200,13500,18700
Raghavendra Marriage Hall,banquet-halls,2.0,vellore,250,32600,9600,12000,21500
Ksm Mahal,banquet-halls,2.0,vellore,450,42100,11300,12900,22200
Rangalaya Royal,banquet-halls,2.0,vellore,350,37400,10500,8200,23600
Hotel Benzz Park,banquet-halls,3.0,vellore,599,48100,9200,11400,32300
Big Impressions Events,banquet-halls,3.0,vellore,650,55200,14700,12600,32900
Priya Mahal,banquet-halls,2.0,vellore,250,37800,6400,9400,17000
Fortune Park,banquet-halls,4.5,vellore,1050,69700,17100,11500,31300
Fortune Park,banquet-halls,4.5,vellore,1050,72400,14000,12000,33500
Fortune Park,banquet-halls,4.5,vellore,1050,74500,19400,8100,32200
Hotel Nd Manor,banquet-halls,4.4,dehradun,800,55100,14500,13100,36100
Vasundara Garden,banquet-halls,2.0,dehradun,350,38800,11000,11800,21500
Raj Banquet Hall,banquet-halls,2.0,dehradun,320,34500,11100,9000,18600
The Landmark,banquet-halls,2.0,dehradun,550,47900,10100,8600,28100
Ashok Spa And Resorts,banquet-halls,2.0,dehradun,650,50300,15300,12700,36100
Saathi Wedding Point,banquet-halls,2.0,dehradun,400,38600,11600,14400,20300
Hotel Viceroy Inn,banquet-halls,2.0,dehradun,650,53500,15300,13100,26600
Hotel Saffron Leaf,banquet-halls,2.0,dehradun,800,66200,16800,11600,30500
Rawat Banquet Hall,banquet-halls,2.0,dehradun,300,34200,7300,12600,18500
Tussat Function Centre,banquet-halls,2.0,dehradun,300,40800,8900,11300,23800
Amrik Hall,banquet-halls,2.0,dehradun,350,40400,11500,10200,25600
Hotel Kamla Palace,banquet-halls,2.0,dehradun,400,49400,8100,11500,27500
Hotel Sunder Palace,banquet-halls,2.0,dehradun,400,40600,12600,9500,25800
Hotel Doon Castle,banquet-halls,2.0,dehradun,600,49300,14400,14600,36300
The Pearl Grand,banquet-halls,2.0,dehradun,1150,78800,17100,10600,38400
Hotel Softel Plaza,banquet-halls,3.0,dehradun,1000,68800,14000,10700,35400
Hotel Softel Plaza,banquet-halls,3.0,dehradun,1000,77300,18700,14100,44400
Hotel The Onix,banquet-halls,2.0,dehradun,600,57000,10400,13700,36600
Hotel Galaxy,banquet-halls,2.0,dehradun,450,49700,10900,10200,20300
Hotel Gms Grand,banquet-halls,2.0,dehradun,750,54400,12000,10400,27500
Yash Vatika,banquet-halls,2.0,dehradun,650,53800,15300,11800,34300
Hotel Sumanglam,banquet-halls,2.0,dehradun,350,33300,12600,8100,27000
Hotel Sumanglam,banquet-halls,2.0,dehradun,350,40300,6700,12400,20200
Siddharth Paradise,banquet-halls,2.0,dehradun,600,52400,14400,9300,29800
Hotel Saurab,banquet-halls,2.0,dehradun,450,43700,12500,12500,31500
Nauka Hills Resort,banquet-halls,2.0,dehradun,650,53600,10400,10500,34400
The Solitaire Hotels,banquet-halls,2.0,dehradun,800,66600,16600,13100,35400
Hotel Calista,banquet-halls,2.0,dehradun,500,46000,12100,9200,29600
Hotel Calista,banquet-halls,2.0,dehradun,500,47700,13100,9100,31500
Hotel Kenil Star,banquet-halls,2.0,dehradun,500,49100,10300,9300,32200
The Celestial Park Hotel,banquet-halls,2.0,bhopal,700,62600,12800,12000,32400
Noor Us Sabah Palace,banquet-halls,2.0,bhopal,1050,78600,13900,9900,39200
The Mark Hotel And Club,banquet-halls,2.0,bhopal,500,49900,13200,14700,22800
The Mark Hotel And Club,banquet-halls,2.0,bhopal,500,48500,10100,9500,25300
The Mark Hotel And Club,banquet-halls,2.0,bhopal,500,51500,12700,11200,28400
Hotel Kanhas Palm Springs,banquet-halls,2.0,bhopal,600,46900,13400,9900,22000
Hotel Rajhans Regent,banquet-halls,2.0,bhopal,285,32500,9100,12900,23800
Hotel Sanskar Upvan,banquet-halls,2.0,bhopal,300,30700,11600,15000,17300
Hotel Sanskar Upvan,banquet-halls,2.0,bhopal,300,34200,9900,11500,24200
Hotel Western,banquet-halls,2.0,bhopal,600,45700,14000,10800,35100
Hotel Rk Residency,banquet-halls,2.0,bhopal,500,50200,10000,10000,33800
Marigold Marriage Garden,banquet-halls,2.0,bhopal,400,47300,9000,14500,22300
Hotel Sudarshan City Walk,banquet-halls,2.0,bhopal,450,44300,10700,8200,24800
Woods Inn Resort,banquet-halls,2.0,bhopal,550,53800,11200,8900,33800
Hotel Ranjits Lakeview,banquet-halls,2.0,bhopal,450,45100,9400,14400,21600
Skyland Marriage Garden,banquet-halls,2.0,bhopal,700,58000,11200,14900,25900
Skyland Marriage Garden,banquet-halls,2.0,bhopal,700,55100,11800,14100,31100
Manas Bhawan,banquet-halls,2.0,bhopal,400,40600,7200,9600,25800
Manas Bhawan,banquet-halls,2.0,bhopal,400,47900,11000,8500,24100
Hotel Csfc,banquet-halls,2.0,bhopal,350,37300,8300,8100,30400
Mayuris Greenwood Garden,banquet-halls,2.0,bhopal,700,53900,10800,9100,33500
Mayuris Greenwood Garden,banquet-halls,2.0,bhopal,700,56700,15900,13800,26300
Kanta Shrawan Palace,banquet-halls,3.0,bhopal,350,46200,12900,14700,26300
Kanta Shrawan Palace,banquet-halls,3.0,bhopal,350,39500,11600,10900,20800
Kanta Shrawan Palace,banquet-halls,3.0,bhopal,350,47500,13000,12200,28400
Kanta Shrawan Palace,banquet-halls,3.0,bhopal,350,38900,7400,11700,21800
Four Seasons Lawn,banquet-halls,3.0,bhopal,1800,105500,24200,8600,55100
Hills View Marriage Garden,banquet-halls,2.0,bhopal,350,34900,7000,13800,23800
Hotel Jalsa Dlx,banquet-halls,2.0,bhopal,450,48800,14100,14300,26200
Hotel Imperial Sabre,banquet-halls,2.0,bhopal,1400,87600,21900,12000,49900
Vandhanam,banquet-halls,3.0,varanasi,550,52700,10000,11800,23700
Vandhanam,banquet-halls,3.0,varanasi,550,55900,13700,8500,33200
Diamond Garden,banquet-halls,2.0,varanasi,550,52400,8900,11500,21900
Ni Ac Banquet Hall,banquet-halls,3.0,varanasi,500,54100,11600,12000,25200
Ni Ac Banquet Hall,banquet-halls,3.0,varanasi,500,47200,11300,14800,20100
Kameshwar Palace,banquet-halls,2.0,varanasi,800,61900,11200,11400,29000
Kameshwar Palace,banquet-halls,2.0,varanasi,800,65500,17400,10200,38800
Sundaram Lawn,banquet-halls,2.0,varanasi,500,46200,9500,14000,30000
Hotel Vaibhav,banquet-halls,2.0,varanasi,700,55200,12100,15000,34500
Shiv Milan Vatika,banquet-halls,3.0,varanasi,450,48000,11700,9000,27600
Dns Palace Marriage Lawn,banquet-halls,2.0,varanasi,400,45500,9100,10500,22900
Swarna Banquet,banquet-halls,3.0,varanasi,400,48400,8700,13300,24700
Swarna Banquet,banquet-halls,3.0,varanasi,400,41500,13700,14700,25000
Mastana Palace,banquet-halls,3.0,varanasi,500,52400,13200,13100,26800
Guru Kripa Lawn,banquet-halls,2.0,varanasi,700,52900,12100,8300,36500
Hotel Tridev,banquet-halls,3.0,varanasi,1200,79100,18700,12700,40500
Hotel City Inn,banquet-halls,3.0,varanasi,800,58600,15700,10700,29100
Hotel Varuna,banquet-halls,2.0,varanasi,1200,79400,18600,8000,37600
Hotel Prince Palace,banquet-halls,2.0,varanasi,650,60800,13200,9000,36400
Hotel Prince Palace,banquet-halls,2.0,varanasi,650,61100,12700,10500,23100
Mm Continental Hotel,banquet-halls,3.0,varanasi,600,55200,10800,8100,31000
Moon Garden,banquet-halls,2.0,varanasi,550,55400,12300,9100,30000
Mahal The Palace,banquet-halls,3.0,varanasi,600,59200,11000,14600,28600
Machaan Restaurant,banquet-halls,2.0,varanasi,350,33800,11000,10700,28900
Archana Upvan,banquet-halls,2.0,varanasi,600,50800,9700,9900,30300
Kaveri Restaurant And Upavan,banquet-halls,2.0,varanasi,400,46000,7400,13300,30100
Hotel Sgt Plaza,banquet-halls,2.0,varanasi,850,57800,13700,14900,33700
Hotel Janhvi International,banquet-halls,2.0,varanasi,700,50600,12700,10900,26900
Hotel Janhvi International,banquet-halls,2.0,varanasi,700,50100,12100,8100,27300
Hotel Regency,banquet-halls,2.0,varanasi,1000,78000,16900,8400,44400
Royal Palace And Hotel,banquet-halls,4.8,patna,600,53700,12300,12800,36000
Amit Hotel,banquet-halls,3.0,patna,800,67800,16000,10500,33000
Area 16,banquet-halls,2.0,patna,650,59800,14100,11100,26100
Maharaja Garden,banquet-halls,2.0,patna,1000,73200,17300,9200,41300
Vatika Premier Hotel,banquet-halls,3.0,patna,1400,87100,23600,14400,47700
Meera Resort,banquet-halls,3.0,patna,600,56500,9700,8900,32800
Delhi Darbar Banquet Hall,banquet-halls,3.4,patna,600,45400,10400,14200,22200
Gulmohar Banquet Hall,banquet-halls,3.0,patna,650,54300,12800,11200,25600
Bailey Gardenia,banquet-halls,2.0,patna,650,52100,11800,13400,26800
Masala Junction Restaurant And Banquet,banquet-halls,3.0,patna,400,48600,10900,14700,27600
Masala Junction Restaurant And Banquet,banquet-halls,3.0,patna,400,48200,10900,13500,27200
Savitri Rasoi And Banquet Hall,banquet-halls,3.0,patna,500,45100,12200,14600,27700
Savitri Rasoi And Banquet Hall,banquet-halls,3.0,patna,500,45100,11200,12500,34000
Dhara Mansion,banquet-halls,2.0,patna,700,51600,12800,11900,36000
Hotel Republic,banquet-halls,3.0,patna,600,45900,12800,9100,30300
Hotel Republic,banquet-halls,3.0,patna,600,47800,11500,8000,22900
Hotel Apsara,banquet-halls,2.0,patna,550,49000,10700,14900,26500
The Grand Arya Banquet Hall,banquet-halls,3.0,patna,700,55900,13700,8500,31300
The Grand Arya Banquet Hall,banquet-halls,3.0,patna,700,51500,12700,10700,31300
The Grand Arya Banquet Hall,banquet-halls,3.0,patna,700,58200,16100,8600,26400
Lemon Tree Premier,banquet-halls,2.0,patna,1300,83300,19900,8700,40600
Ghar Aangan Resort,banquet-halls,2.0,patna,900,67700,15800,13300,31000
Ghar Aangan Resort,banquet-halls,2.0,patna,900,66900,17800,12300,38400
The Highway Restaurant And Banquet Hall,banquet-halls,2.0,patna,550,49400,14300,11100,28300
The Avr Hotel And Banquets,banquet-halls,2.0,patna,650,49400,11700,9600,24500
The Celebration Zone,banquet-halls,2.0,patna,600,48100,11800,14000,32900
Hotel Vijay Shree Deluxe,banquet-halls,2.0,patna,750,66000,12200,12900,36200
Hotel Nesh Inn,banquet-halls,2.0,patna,900,68200,17500,12700,41000
Hotel Nesh Inn,banquet-halls,2.0,patna,900,65800,15500,8800,31400
Hotel Frontline Residency,banquet-halls,2.0,patna,550,55300,12600,11800,33900
Hotel The Legend,banquet-halls,2.0,kanpur,1099,80200,19800,9400,40800
The Landmark Hotel,banquet-halls,5.0,kanpur,1550,101400,20000,11200,55800
Royal Castle Banquet,banquet-halls,2.0,kanpur,700,51100,14800,11600,35000
Hotel Celebration,banquet-halls,2.0,kanpur,750,54500,10500,10100,38500
Hotel Celebration,banquet-halls,2.0,kanpur,750,53800,16700,14700,33200
Hotel Dng The Grand,banquet-halls,2.0,kanpur,1200,88500,19000,14000,44500
Mannat Banquet,banquet-halls,2.0,kanpur,1000,71200,15600,10500,37900
Citi Club,banquet-halls,2.0,kanpur,700,57600,12800,8500,29100
Royal Prince Banquets,banquet-halls,2.0,kanpur,800,55100,14900,13700,35900
Hotel Deep,banquet-halls,2.0,kanpur,500,44600,11700,14300,25400
Hotel Malik Residency,banquet-halls,2.0,kanpur,650,53800,15700,10700,35900
Pakvan Restaurant,banquet-halls,2.0,kanpur,550,46100,14100,11700,28600
Raghusheela Banquet,banquet-halls,2.0,kanpur,700,61500,10700,14700,31200
Pamela Restaurant And Banquet,banquet-halls,2.0,kanpur,450,43700,14200,10600,24100
Negi Banquet Hall,banquet-halls,2.0,kanpur,800,64800,17500,10100,28200
Narula Convention Centre And Rooms,banquet-halls,2.0,kanpur,700,57600,14600,14400,26100
Narula Convention Centre And Rooms,banquet-halls,2.0,kanpur,700,58300,11000,10600,25000
Hotel Vijay Intercontinental,banquet-halls,5.0,kanpur,1800,105200,24700,11100,53100
Hotel Vijay Intercontinental,banquet-halls,5.0,kanpur,1800,115300,27800,9900,46600
Hotel K D Palace,banquet-halls,2.0,kanpur,900,69400,16400,8600,37500
Hotel K D Palace,banquet-halls,2.0,kanpur,900,70400,16600,11600,35400
Essel Palace,banquet-halls,2.0,kanpur,1500,96400,20200,14400,41300
Mansa Galaxy,banquet-halls,2.0,kanpur,900,64200,16400,9200,29800
Grand New Rahul Banquet And Restaurant,banquet-halls,2.0,kanpur,600,54700,15900,9800,33200
Om Sai Banquet Hall And Lawn,banquet-halls,2.0,kanpur,500,54400,12300,10600,31600
Om Sai Banquet Hall And Lawn,banquet-halls,2.0,kanpur,500,52900,11000,11200,25600
Krishna Marriage Hall,banquet-halls,2.0,kanpur,600,52900,15900,11100,26900
Richa Solitaire,banquet-halls,2.0,kanpur,450,49700,11100,10600,24400
Durga Lawn,banquet-halls,2.0,kanpur,650,54400,15100,11200,25700
Ishwar Kripa Lawn,banquet-halls,2.0,kanpur,500,46700,11100,12300,33800
Vishwanadh Conventions,banquet-halls,3.0,visakhapatnam,650,50000,12800,8700,33000
A1 Grand The Convention,banquet-halls,3.0,visakhapatnam,2200,135900,30200,13900,63900
Subham Function Hall,banquet-halls,3.0,visakhapatnam,1700,113800,20600,13000,48700
Sunray Village Resort,banquet-halls,3.0,visakhapatnam,1750,105200,25200,14300,57000
Novotel Visakhapatnam Varun Beach,banquet-halls,5.0,visakhapatnam,1800,110400,21200,11200,48900
Novotel Visakhapatnam Varun Beach,banquet-halls,5.0,visakhapatnam,1800,106800,25000,10100,51600
Minakshi Conventions,banquet-halls,2.0,visakhapatnam,400,46700,7500,13300,29500
The Gateway Hotel,banquet-halls,5.0,visakhapatnam,1500,100200,20200,12100,45400
Fairfield By Marriott Visakhapatnam,banquet-halls,4.0,visakhapatnam,1500,100600,20700,13800,44100
